state,counties,total_roads,primary,secondary,local,special
Alabama,5,116649,112,1077,102465,12995
Alaska,1,7350,20,31,6553,746
Arizona,6,251934,108,456,230185,21185
Arkansas,1,14329,34,228,12304,1763
California,29,839769,1115,4696,747707,86251
Colorado,9,127498,236,1209,112379,13674
Connecticut,3,51430,158,1308,46114,3850
District of Columbia,1,4390,79,102,3717,492
Florida,22,417898,469,4977,383379,29073
Georgia,12,120226,293,1812,111572,6549
Hawaii,1,13016,39,321,11762,894
Idaho,1,17905,16,67,17453,369
Illinois,8,154774,292,2026,118380,34076
Indiana,7,69048,148,926,59818,8156
Iowa,4,38310,55,527,30876,6852
Kansas,5,49279,136,414,43854,4875
Kentucky,2,19218,46,362,17164,1646
Louisiana,5,44578,73,1273,40045,3187
Maine,1,12529,7,489,9731,2302
Maryland,5,98793,262,1844,91074,5613
Massachusetts,8,178052,337,4421,165414,7880
Michigan,10,125357,187,1139,118035,5996
Minnesota,6,84569,181,620,70508,13260
Mississippi,1,12012,21,87,9522,2382
Missouri,5,83977,155,653,72393,10776
Montana,2,15328,17,154,12828,2329
Nebraska,3,28690,38,346,25969,2337
Nevada,2,79765,51,329,75238,4147
New Hampshire,2,23098,42,902,18346,3808
New Jersey,9,102315,392,1184,93071,7668
New Mexico,2,36020,26,330,32430,3234
New York,14,155581,522,3124,138589,13346
North Carolina,10,127042,260,1385,116385,9012
North Dakota,2,14256,14,143,9449,4650
Ohio,10,119056,296,2151,109951,6658
Oklahoma,4,70698,188,408,59561,10541
Oregon,7,106870,107,906,96243,9614
Pennsylvania,9,136702,336,2697,115154,18515
Rhode Island,1,13334,47,586,11696,1005
South Carolina,5,84179,65,1257,76218,6639
South Dakota,2,11269,16,214,9917,1122
Tennessee,9,106615,170,1940,88747,15758
Texas,28,522254,1083,3944,440949,76278
Utah,5,104620,68,1020,100478,3054
Virginia,17,143257,376,2502,122444,17935
Washington,8,188261,130,1056,175972,11103
West Virginia,2,30292,16,379,27500,2397
Wisconsin,10,69695,177,1568,64423,3527
Wyoming,2,21660,19,219,18082,3340
